prompt,price
" This House has an area of 7420 sqft. It has 4 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",13300000
" This House has an area of 8960 sqft. It has 4 bedrooms and 4 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 3 parking slots. What is the price of this house?",12250000
" This House has an area of 9960 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",12250000
" This House has an area of 7500 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 3 parking slots. It is located in a preferred area. What is the price of this house?",12215000
" This House has an area of 7420 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",11410000
" This House has an area of 7500 sqft. It has 3 bedrooms and 3 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",10850000
" This House has an area of 8580 sqft. It has 4 bedrooms and 3 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",10150000
" This House has an area of 16200 sqft. It has 5 bedrooms and 3 bathrooms . It is a 2 storey house on the mainroad. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",10150000
" This House has an area of 8100 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",9870000
" This House has an area of 5750 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",9800000
" This House has an area of 13200 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",9800000
" This House has an area of 6000 sqft. It has 4 bedrooms and 3 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",9681000
" This House has an area of 6550 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",9310000
" This House has an area of 3500 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",9240000
" This House has an area of 7800 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",9240000
" This House has an area of 6000 sqft. It has 4 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",9100000
" This House has an area of 6600 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",9100000
" This House has an area of 8500 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8960000
" This House has an area of 4600 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8890000
" This House has an area of 6420 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8855000
" This House has an area of 4320 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",8750000
" This House has an area of 7155 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8680000
" This House has an area of 8050 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",8645000
" This House has an area of 4560 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",8645000
" This House has an area of 8800 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8575000
" This House has an area of 6540 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",8540000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",8463000
" This House has an area of 8875 sqft. It has 3 bedrooms and 1 bathrooms . It is a 1 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",8400000
" This House has an area of 7950 sqft. It has 5 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",8400000
" This House has an area of 5500 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8400000
" This House has an area of 7475 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8400000
" This House has an area of 7000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8400000
" This House has an area of 4880 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8295000
" This House has an area of 5960 sqft. It has 3 bedrooms and 3 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",8190000
" This House has an area of 6840 sqft. It has 5 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",8120000
" This House has an area of 7000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8080940
" This House has an area of 7482 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like hot water heating,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8043000
" This House has an area of 9000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7980000
" This House has an area of 6000 sqft. It has 3 bedrooms and 1 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7962500
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7910000
" This House has an area of 6550 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",7875000
" This House has an area of 6360 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",7840000
" This House has an area of 6480 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7700000
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",7700000
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7560000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. What is the price of this house?",7560000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7525000
" This House has an area of 6600 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 3 parking slots. It is located in a preferred area. What is the price of this house?",7490000
" This House has an area of 4300 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",7455000
" This House has an area of 7440 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 0 parking slots. It is located in a preferred area. What is the price of this house?",7420000
" This House has an area of 7440 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",7420000
" This House has an area of 6325 sqft. It has 3 bedrooms and 1 bathrooms . It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7420000
" This House has an area of 6000 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7350000
" This House has an area of 5150 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",7350000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7350000
" This House has an area of 6000 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7350000
" This House has an area of 11440 sqft. It has 4 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. It is located in a preferred area. What is the price of this house?",7343000
" This House has an area of 9000 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",7245000
" This House has an area of 7680 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7210000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 1 parking slots. What is the price of this house?",7210000
" This House has an area of 6000 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 1 parking slots. What is the price of this house?",7140000
