prompt,price,firstl,midl,lastl
" This House has an area of 7420 sqft. It has 4 bedrooms and 2 bathrooms . It is a 3 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",13300000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14453125  0.04467773  0.05615234 ...  0.09667969 -0.08105469
  -0.02294922]]","[[ 3.90625    -0.69140625  2.15625    ...  1.96875     0.4375
   0.09765625]]"
" This House has an area of 8960 sqft. It has 4 bedrooms and 4 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 3 parking slots. What is the price of this house?",12250000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13671875  0.05126953  0.0390625  ...  0.11767578 -0.05444336
  -0.01611328]]",[[4.8125     0.3515625  2.453125   ... 2.078125   0.47265625 0.10693359]]
" This House has an area of 9960 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. It is located in a preferred area. What is the price of this house?",12250000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.11767578  0.02539062  0.08056641 ...  0.12988281 -0.08886719
  -0.03515625]]","[[ 3.5625     -1.390625    1.765625   ...  2.578125    0.83984375
  -0.23339844]]"
" This House has an area of 7500 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 3 parking slots. It is located in a preferred area. What is the price of this house?",12215000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14453125  0.02954102  0.06640625 ...  0.109375   -0.08007812
  -0.01953125]]","[[ 3.734375   -0.5078125   2.25       ...  2.1875      0.3203125
   0.11035156]]"
" This House has an area of 7420 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",11410000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1484375   0.05273438  0.04248047 ...  0.08496094 -0.0703125
  -0.01513672]]","[[ 4.4375     -0.2890625   2.46875    ...  1.8046875   0.3125
   0.25390625]]"
" This House has an area of 7500 sqft. It has 3 bedrooms and 3 bathrooms . It is a 1 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",10850000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13183594  0.03198242  0.07177734 ...  0.12402344 -0.07373047
  -0.01794434]]","[[ 3.625      -1.015625    2.125      ...  2.453125    0.80078125
  -0.07324219]]"
" This House has an area of 8580 sqft. It has 4 bedrooms and 3 bathrooms . It is a 4 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",10150000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13476562  0.05688477  0.0612793  ...  0.11230469 -0.06835938
  -0.03320312]]","[[ 3.859375   -0.96875     2.03125    ...  2.40625     0.98046875
  -0.15625   ]]"
" This House has an area of 16200 sqft. It has 5 bedrooms and 3 bathrooms . It is a 2 storey house on the mainroad. The house is unfurnished and comes with facilities like ,  along with 0 parking slots. What is the price of this house?",10150000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13085938  0.06445312  0.04638672 ...  0.12695312 -0.07714844
  -0.03369141]]","[[ 4.21875    -0.21191406  1.984375   ...  2.4375      0.93359375
   0.1484375 ]]"
" This House has an area of 8100 sqft. It has 4 bedrooms and 1 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",9870000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.15234375  0.04370117  0.06933594 ...  0.09375    -0.0859375
  -0.02807617]]","[[ 4.03125    -0.78515625  2.328125   ...  2.203125    0.31054688
   0.01831055]]"
" This House has an area of 5750 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 4 storey house on the mainroad. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",9800000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14453125  0.05517578  0.05078125 ...  0.09228516 -0.08154297
  -0.03100586]]","[[ 4.09375    -0.74609375  2.15625    ...  2.3125      0.609375
   0.10888672]]"
" This House has an area of 13200 sqft. It has 3 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. It is located in a preferred area. What is the price of this house?",9800000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.13476562  0.03125     0.07421875 ...  0.10986328 -0.09326172
  -0.02661133]]","[[ 3.65625    -1.0234375   2.15625    ...  2.15625     0.328125
   0.04199219]]"
" This House has an area of 6000 sqft. It has 4 bedrooms and 3 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",9681000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14453125  0.04199219  0.05517578 ...  0.12695312 -0.05175781
  -0.0255127 ]]",[[4.46875    0.07666016 2.546875   ... 2.0625     0.609375   0.        ]]
" This House has an area of 6550 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",9310000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.04638672  0.07080078 ...  0.12011719 -0.06884766
  -0.0267334 ]]","[[ 3.609375   -1.109375    1.796875   ...  2.65625     1.1171875
  -0.11279297]]"
" This House has an area of 3500 sqft. It has 4 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like hot water heating,  along with 2 parking slots. What is the price of this house?",9240000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14160156  0.01660156  0.04443359 ...  0.14746094 -0.06201172
  -0.03271484]]",[[4.46875    0.73046875 2.484375   ... 1.9140625  0.49609375 0.01287842]]
" This House has an area of 7800 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like ,  along with 0 parking slots. It is located in a preferred area. What is the price of this house?",9240000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14257812  0.04418945  0.07128906 ...  0.13183594 -0.06933594
  -0.0378418 ]]","[[ 3.671875   -1.0390625   1.71875    ...  2.75        1.1171875
  -0.15136719]]"
" This House has an area of 6000 sqft. It has 4 bedrooms and 1 bathrooms . It is a 2 storey house on the mainroad. It also comes with a basement. The house is semi-furnished and comes with facilities like ,  along with 2 parking slots. What is the price of this house?",9100000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.12597656  0.03320312  0.08007812 ...  0.12988281 -0.07617188
  -0.02539062]]","[[ 4.03125    -0.4375      2.328125   ...  2.21875     0.51171875
   0.14355469]]"
" This House has an area of 6600 sqft. It has 4 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. It also comes with a basement. The house is unfurnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",9100000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14550781  0.03344727  0.06787109 ...  0.10791016 -0.08496094
  -0.03369141]]","[[ 3.921875   -1.1015625   2.125      ...  2.546875    0.69921875
   0.01806641]]"
" This House has an area of 8500 sqft. It has 3 bedrooms and 2 bathrooms . It is a 4 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8960000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.14550781  0.04296875  0.04541016 ...  0.13183594 -0.05395508
  -0.01733398]]",[[4.59375    0.6171875  2.4375     ... 2.03125    0.42773438 0.11376953]]
" This House has an area of 4600 sqft. It has 3 bedrooms and 2 bathrooms along with a guest room. It is a 2 storey house on the mainroad. The house is furnished and comes with facilities like , air conditioning along with 2 parking slots. What is the price of this house?",8890000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.15722656  0.05126953  0.04296875 ...  0.12207031 -0.04589844
  -0.01123047]]",[[4.65625    0.67578125 2.421875   ... 2.0625     0.49609375 0.27148438]]
" This House has an area of 6420 sqft. It has 3 bedrooms and 2 bathrooms . It is a 2 storey house on the mainroad. The house is semi-furnished and comes with facilities like , air conditioning along with 1 parking slots. It is located in a preferred area. What is the price of this house?",8855000,"[[-0.00500488 -0.00146484  0.00616455 ...  0.00205994 -0.00157166
  -0.00424194]]","[[ 0.1328125   0.04248047  0.06835938 ...  0.12011719 -0.07519531
  -0.02648926]]","[[ 3.671875   -1.1171875   1.8671875  ...  2.59375     1.125
  -0.14355469]]"
